Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
Arab World,ARB,"Population, female",SP.POP.TOTL.FE.IN,228871007
Arab World,ARB,"Population, male",SP.POP.TOTL.MA.IN,244394554
Arab World,ARB,Rural population,SP.RUR.TOTL,190122544
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Argentina,ARG,"Population ages 80 and above, male",SP.POP.80UP.MA,419963
Argentina,ARG,"Population ages 80 and above, female",SP.POP.80UP.FE,931010
Argentina,ARG,"Population, total",SP.POP.TOTL,46519252
Argentina,ARG,Urban population,SP.URB.TOTL,43013096
Argentina,ARG,"Population, female",SP.POP.TOTL.FE.IN,23487063
Argentina,ARG,"Population, male",SP.POP.TOTL.MA.IN,23032189
Argentina,ARG,Rural population,SP.RUR.TOTL,3506156
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Armenia,ARM,"Population ages 80 and above, male",SP.POP.80UP.MA,16438
Armenia,ARM,"Population ages 80 and above, female",SP.POP.80UP.FE,61817
Armenia,ARM,"Population, total",SP.POP.TOTL,2777970
Armenia,ARM,Urban population,SP.URB.TOTL,1770650
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,1528880
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,1249091
Armenia,ARM,Rural population,SP.RUR.TOTL,1007320
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Aruba,ABW,"Population ages 80 and above, male",SP.POP.80UP.MA,854
Aruba,ABW,"Population ages 80 and above, female",SP.POP.80UP.FE,1736
Aruba,ABW,"Population, total",SP.POP.TOTL,106277
Aruba,ABW,Urban population,SP.URB.TOTL,47032
Aruba,ABW,"Population, female",SP.POP.TOTL.FE.IN,56225
Aruba,ABW,"Population, male",SP.POP.TOTL.MA.IN,50052
Aruba,ABW,Rural population,SP.RUR.TOTL,59245
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Australia,AUS,"Population ages 80 and above, male",SP.POP.80UP.MA,500474
Australia,AUS,"Population ages 80 and above, female",SP.POP.80UP.FE,658415
Australia,AUS,"Population, total",SP.POP.TOTL,26256970
Australia,AUS,Urban population,SP.URB.TOTL,22743000
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,13217507
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,13039463
Australia,AUS,Rural population,SP.RUR.TOTL,3513970
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Austria,AUT,"Population ages 80 and above, male",SP.POP.80UP.MA,213630
Austria,AUT,"Population ages 80 and above, female",SP.POP.80UP.FE,338874
Austria,AUT,"Population, total",SP.POP.TOTL,9055536
Austria,AUT,Urban population,SP.URB.TOTL,5390761
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,4595339
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,4460198
Austria,AUT,Rural population,SP.RUR.TOTL,3664775
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Azerbaijan,AZE,"Population ages 80 and above, male",SP.POP.80UP.MA,34843
Azerbaijan,AZE,"Population ages 80 and above, female",SP.POP.80UP.FE,73372
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10195755
Azerbaijan,AZE,Urban population,SP.URB.TOTL,5870410
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,5163517
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,5032239
Azerbaijan,AZE,Rural population,SP.RUR.TOTL,4325345
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
"Bahamas, The",BHS,"Population ages 80 and above, male",SP.POP.80UP.MA,2601
"Bahamas, The",BHS,"Population ages 80 and above, female",SP.POP.80UP.FE,4608
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,412623
"Bahamas, The",BHS,Urban population,SP.URB.TOTL,345056
"Bahamas, The",BHS,"Population, female",SP.POP.TOTL.FE.IN,215761
"Bahamas, The",BHS,"Population, male",SP.POP.TOTL.MA.IN,196863
"Bahamas, The",BHS,Rural population,SP.RUR.TOTL,67567
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Bahrain,BHR,"Population ages 80 and above, male",SP.POP.80UP.MA,3344
Bahrain,BHR,"Population ages 80 and above, female",SP.POP.80UP.FE,4054
Bahrain,BHR,"Population, total",SP.POP.TOTL,1485509
Bahrain,BHR,Urban population,SP.URB.TOTL,1335012
Bahrain,BHR,"Population, female",SP.POP.TOTL.FE.IN,566890
Bahrain,BHR,"Population, male",SP.POP.TOTL.MA.IN,918619
Bahrain,BHR,Rural population,SP.RUR.TOTL,150497
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Bangladesh,BGD,"Population ages 80 and above, male",SP.POP.80UP.MA,700954
Bangladesh,BGD,"Population ages 80 and above, female",SP.POP.80UP.FE,896189
Bangladesh,BGD,"Population, total",SP.POP.TOTL,172954319
Bangladesh,BGD,Urban population,SP.URB.TOTL,69999802
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,87282086
Bangladesh,BGD,"Population, male",SP.POP.TOTL.MA.IN,85672234
Bangladesh,BGD,Rural population,SP.RUR.TOTL,102954517
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Barbados,BRB,"Population ages 80 and above, male",SP.POP.80UP.MA,3336
Barbados,BRB,"Population ages 80 and above, female",SP.POP.80UP.FE,5368
Barbados,BRB,"Population, total",SP.POP.TOTL,281995
Barbados,BRB,Urban population,SP.URB.TOTL,88617
Barbados,BRB,"Population, female",SP.POP.TOTL.FE.IN,146710
Barbados,BRB,"Population, male",SP.POP.TOTL.MA.IN,135285
Barbados,BRB,Rural population,SP.RUR.TOTL,193378
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Belarus,BLR,"Population ages 80 and above, male",SP.POP.80UP.MA,74635
Belarus,BLR,"Population ages 80 and above, female",SP.POP.80UP.FE,263852
Belarus,BLR,"Population, total",SP.POP.TOTL,9187054
Belarus,BLR,Urban population,SP.URB.TOTL,7416801
Belarus,BLR,"Population, female",SP.POP.TOTL.FE.IN,4959927
Belarus,BLR,"Population, male",SP.POP.TOTL.MA.IN,4227127
Belarus,BLR,Rural population,SP.RUR.TOTL,1770253
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Belgium,BEL,"Population ages 80 and above, male",SP.POP.80UP.MA,248499
Belgium,BEL,"Population ages 80 and above, female",SP.POP.80UP.FE,405348
Belgium,BEL,"Population, total",SP.POP.TOTL,11714453
Belgium,BEL,Urban population,SP.URB.TOTL,11502304
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,5923370
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,5791083
Belgium,BEL,Rural population,SP.RUR.TOTL,212149
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Belize,BLZ,"Population ages 80 and above, male",SP.POP.80UP.MA,1668
Belize,BLZ,"Population ages 80 and above, female",SP.POP.80UP.FE,1968
Belize,BLZ,"Population, total",SP.POP.TOTL,410825
Belize,BLZ,Urban population,SP.URB.TOTL,191477
Belize,BLZ,"Population, female",SP.POP.TOTL.FE.IN,204364
Belize,BLZ,"Population, male",SP.POP.TOTL.MA.IN,206461
Belize,BLZ,Rural population,SP.RUR.TOTL,219348
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Benin,BEN,"Population ages 80 and above, male",SP.POP.80UP.MA,21109
Benin,BEN,"Population ages 80 and above, female",SP.POP.80UP.FE,32844
Benin,BEN,"Population, total",SP.POP.TOTL,13712828
Benin,BEN,Urban population,SP.URB.TOTL,6870127
Benin,BEN,"Population, female",SP.POP.TOTL.FE.IN,6842109
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,6870720
Benin,BEN,Rural population,SP.RUR.TOTL,6842701
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Bermuda,BMU,"Population ages 80 and above, male",SP.POP.80UP.MA,..
Bermuda,BMU,"Population ages 80 and above, female",SP.POP.80UP.FE,..
Bermuda,BMU,"Population, total",SP.POP.TOTL,..
Bermuda,BMU,Urban population,SP.URB.TOTL,..
Bermuda,BMU,"Population, female",SP.POP.TOTL.FE.IN,..
Bermuda,BMU,"Population, male",SP.POP.TOTL.MA.IN,..
Bermuda,BMU,Rural population,SP.RUR.TOTL,..
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Bhutan,BTN,"Population ages 80 and above, male",SP.POP.80UP.MA,3847
Bhutan,BTN,"Population ages 80 and above, female",SP.POP.80UP.FE,4450
Bhutan,BTN,"Population, total",SP.POP.TOTL,787424
Bhutan,BTN,Urban population,SP.URB.TOTL,349223
Bhutan,BTN,"Population, female",SP.POP.TOTL.FE.IN,371228
Bhutan,BTN,"Population, male",SP.POP.TOTL.MA.IN,416196
Bhutan,BTN,Rural population,SP.RUR.TOTL,438201
Bhutan,BTN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Bolivia,BOL,"Population ages 80 and above, male",SP.POP.80UP.MA,27910
Bolivia,BOL,"Population ages 80 and above, female",SP.POP.80UP.FE,49074
Bolivia,BOL,"Population, total",SP.POP.TOTL,12388571
Bolivia,BOL,Urban population,SP.URB.TOTL,8818928
Bolivia,BOL,"Population, female",SP.POP.TOTL.FE.IN,6182488
Bolivia,BOL,"Population, male",SP.POP.TOTL.MA.IN,6206083
Bolivia,BOL,Rural population,SP.RUR.TOTL,3569643
Bolivia,BOL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Bosnia and Herzegovina,BIH,"Population ages 80 and above, male",SP.POP.80UP.MA,46805
Bosnia and Herzegovina,BIH,"Population ages 80 and above, female",SP.POP.80UP.FE,74322
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3210847
Bosnia and Herzegovina,BIH,Urban population,SP.URB.TOTL,1614061
Bosnia and Herzegovina,BIH,"Population, female",SP.POP.TOTL.FE.IN,1630487
Bosnia and Herzegovina,BIH,"Population, male",SP.POP.TOTL.MA.IN,1580360
Bosnia and Herzegovina,BIH,Rural population,SP.RUR.TOTL,1596786
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Botswana,BWA,"Population ages 80 and above, male",SP.POP.80UP.MA,4859
Botswana,BWA,"Population ages 80 and above, female",SP.POP.80UP.FE,8736
Botswana,BWA,"Population, total",SP.POP.TOTL,2675352
Botswana,BWA,Urban population,SP.URB.TOTL,1949449
Botswana,BWA,"Population, female",SP.POP.TOTL.FE.IN,1353690
Botswana,BWA,"Population, male",SP.POP.TOTL.MA.IN,1321662
Botswana,BWA,Rural population,SP.RUR.TOTL,725903
Botswana,BWA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Brazil,BRA,"Population ages 80 and above, male",SP.POP.80UP.MA,1375607
Brazil,BRA,"Population ages 80 and above, female",SP.POP.80UP.FE,2363043
Brazil,BRA,"Population, total",SP.POP.TOTL,216422446
Brazil,BRA,Urban population,SP.URB.TOTL,189992937
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,110181331
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,106241115
Brazil,BRA,Rural population,SP.RUR.TOTL,26429509
Brazil,BRA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
British Virgin Islands,VGB,"Population ages 80 and above, male",SP.POP.80UP.MA,155
British Virgin Islands,VGB,"Population ages 80 and above, female",SP.POP.80UP.FE,234
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,31538
British Virgin Islands,VGB,Urban population,SP.URB.TOTL,15690
British Virgin Islands,VGB,"Population, female",SP.POP.TOTL.FE.IN,16340
British Virgin Islands,VGB,"Population, male",SP.POP.TOTL.MA.IN,15197
British Virgin Islands,VGB,Rural population,SP.RUR.TOTL,15848
British Virgin Islands,VGB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Brunei Darussalam,BRN,"Population ages 80 and above, male",SP.POP.80UP.MA,1404
Brunei Darussalam,BRN,"Population ages 80 and above, female",SP.POP.80UP.FE,2134
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,452524
Brunei Darussalam,BRN,Urban population,SP.URB.TOTL,358168
Brunei Darussalam,BRN,"Population, female",SP.POP.TOTL.FE.IN,218629
Brunei Darussalam,BRN,"Population, male",SP.POP.TOTL.MA.IN,233894
Brunei Darussalam,BRN,Rural population,SP.RUR.TOTL,94356
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Bulgaria,BGR,"Population ages 80 and above, male",SP.POP.80UP.MA,111213
Bulgaria,BGR,"Population ages 80 and above, female",SP.POP.80UP.FE,213506
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6386070
Bulgaria,BGR,Urban population,SP.URB.TOTL,4898180
Bulgaria,BGR,"Population, female",SP.POP.TOTL.FE.IN,3289145
Bulgaria,BGR,"Population, male",SP.POP.TOTL.MA.IN,3096925
Bulgaria,BGR,Rural population,SP.RUR.TOTL,1487890
Bulgaria,BGR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Burkina Faso,BFA,"Population ages 80 and above, male",SP.POP.80UP.MA,19897
Burkina Faso,BFA,"Population ages 80 and above, female",SP.POP.80UP.FE,36245
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,23251485
Burkina Faso,BFA,Urban population,SP.URB.TOTL,7561383
Burkina Faso,BFA,"Population, female",SP.POP.TOTL.FE.IN,11662740
Burkina Faso,BFA,"Population, male",SP.POP.TOTL.MA.IN,11588745
Burkina Faso,BFA,Rural population,SP.RUR.TOTL,15690102
Burkina Faso,BFA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Burundi,BDI,"Population ages 80 and above, male",SP.POP.80UP.MA,13532
Burundi,BDI,"Population ages 80 and above, female",SP.POP.80UP.FE,23044
Burundi,BDI,"Population, total",SP.POP.TOTL,13238559
Burundi,BDI,Urban population,SP.URB.TOTL,1957189
Burundi,BDI,"Population, female",SP.POP.TOTL.FE.IN,6663239
Burundi,BDI,"Population, male",SP.POP.TOTL.MA.IN,6575319
Burundi,BDI,Rural population,SP.RUR.TOTL,11281370
Burundi,BDI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Cabo Verde,CPV,"Population ages 80 and above, male",SP.POP.80UP.MA,2079
Cabo Verde,CPV,"Population ages 80 and above, female",SP.POP.80UP.FE,6015
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,598682
Cabo Verde,CPV,Urban population,SP.URB.TOTL,406996
Cabo Verde,CPV,"Population, female",SP.POP.TOTL.FE.IN,301036
Cabo Verde,CPV,"Population, male",SP.POP.TOTL.MA.IN,297646
Cabo Verde,CPV,Rural population,SP.RUR.TOTL,191686
Cabo Verde,CPV,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Cambodia,KHM,"Population ages 80 and above, male",SP.POP.80UP.MA,41935
Cambodia,KHM,"Population ages 80 and above, female",SP.POP.80UP.FE,80941
Cambodia,KHM,"Population, total",SP.POP.TOTL,16944826
Cambodia,KHM,Urban population,SP.URB.TOTL,4332792
Cambodia,KHM,"Population, female",SP.POP.TOTL.FE.IN,8560264
Cambodia,KHM,"Population, male",SP.POP.TOTL.MA.IN,8384561
Cambodia,KHM,Rural population,SP.RUR.TOTL,12612034
Cambodia,KHM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Cameroon,CMR,"Population ages 80 and above, male",SP.POP.80UP.MA,44836
Cameroon,CMR,"Population ages 80 and above, female",SP.POP.80UP.FE,60619
Cameroon,CMR,"Population, total",SP.POP.TOTL,28647293
Cameroon,CMR,Urban population,SP.URB.TOTL,16992142
Cameroon,CMR,"Population, female",SP.POP.TOTL.FE.IN,14357596
Cameroon,CMR,"Population, male",SP.POP.TOTL.MA.IN,14289697
Cameroon,CMR,Rural population,SP.RUR.TOTL,11655151
Cameroon,CMR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Canada,CAN,"Population ages 80 and above, male",SP.POP.80UP.MA,769958
Canada,CAN,"Population ages 80 and above, female",SP.POP.80UP.FE,1093769
Canada,CAN,"Population, total",SP.POP.TOTL,39244168
Canada,CAN,Urban population,SP.URB.TOTL,32126061
Canada,CAN,"Population, female",SP.POP.TOTL.FE.IN,19739248
Canada,CAN,"Population, male",SP.POP.TOTL.MA.IN,19504921
Canada,CAN,Rural population,SP.RUR.TOTL,7118107
Canada,CAN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Caribbean small states,CSS,"Population ages 80 and above, male",SP.POP.80UP.MA,42032
Caribbean small states,CSS,"Population ages 80 and above, female",SP.POP.80UP.FE,67990
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,7528219
Caribbean small states,CSS,Urban population,SP.URB.TOTL,3929612
Caribbean small states,CSS,"Population, female",SP.POP.TOTL.FE.IN,3814291
Caribbean small states,CSS,"Population, male",SP.POP.TOTL.MA.IN,3713929
Caribbean small states,CSS,Rural population,SP.RUR.TOTL,3598607
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Cayman Islands,CYM,"Population ages 80 and above, male",SP.POP.80UP.MA,352
Cayman Islands,CYM,"Population ages 80 and above, female",SP.POP.80UP.FE,513
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,69310
Cayman Islands,CYM,Urban population,SP.URB.TOTL,69310
Cayman Islands,CYM,"Population, female",SP.POP.TOTL.FE.IN,34367
Cayman Islands,CYM,"Population, male",SP.POP.TOTL.MA.IN,34943
Cayman Islands,CYM,Rural population,SP.RUR.TOTL,0
Cayman Islands,CYM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Central African Republic,CAF,"Population ages 80 and above, male",SP.POP.80UP.MA,5631
Central African Republic,CAF,"Population ages 80 and above, female",SP.POP.80UP.FE,7282
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5742315
Central African Republic,CAF,Urban population,SP.URB.TOTL,2504453
Central African Republic,CAF,"Population, female",SP.POP.TOTL.FE.IN,2872985
Central African Republic,CAF,"Population, male",SP.POP.TOTL.MA.IN,2869330
Central African Republic,CAF,Rural population,SP.RUR.TOTL,3237862
Central African Republic,CAF,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Central Europe and the Baltics,CEB,"Population ages 80 and above, male",SP.POP.80UP.MA,1380638
Central Europe and the Baltics,CEB,"Population ages 80 and above, female",SP.POP.80UP.FE,2972607
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,98398413
Central Europe and the Baltics,CEB,Urban population,SP.URB.TOTL,62039189
Central Europe and the Baltics,CEB,"Population, female",SP.POP.TOTL.FE.IN,50690310
Central Europe and the Baltics,CEB,"Population, male",SP.POP.TOTL.MA.IN,47708101
Central Europe and the Baltics,CEB,Rural population,SP.RUR.TOTL,36359224
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Chad,TCD,"Population ages 80 and above, male",SP.POP.80UP.MA,14892
Chad,TCD,"Population ages 80 and above, female",SP.POP.80UP.FE,21597
Chad,TCD,"Population, total",SP.POP.TOTL,18278568
Chad,TCD,Urban population,SP.URB.TOTL,4453756
Chad,TCD,"Population, female",SP.POP.TOTL.FE.IN,9104070
Chad,TCD,"Population, male",SP.POP.TOTL.MA.IN,9174497
Chad,TCD,Rural population,SP.RUR.TOTL,13824812
Chad,TCD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Channel Islands,CHI,"Population ages 80 and above, male",SP.POP.80UP.MA,2949
Channel Islands,CHI,"Population ages 80 and above, female",SP.POP.80UP.FE,4482
Channel Islands,CHI,"Population, total",SP.POP.TOTL,175346
Channel Islands,CHI,Urban population,SP.URB.TOTL,54636
Channel Islands,CHI,"Population, female",SP.POP.TOTL.FE.IN,88549
Channel Islands,CHI,"Population, male",SP.POP.TOTL.MA.IN,86797
Channel Islands,CHI,Rural population,SP.RUR.TOTL,120710
Channel Islands,CHI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Chile,CHL,"Population ages 80 and above, male",SP.POP.80UP.MA,234810
Chile,CHL,"Population ages 80 and above, female",SP.POP.80UP.FE,370815
Chile,CHL,"Population, total",SP.POP.TOTL,19629590
Chile,CHL,Urban population,SP.URB.TOTL,17276395
Chile,CHL,"Population, female",SP.POP.TOTL.FE.IN,9887616
Chile,CHL,"Population, male",SP.POP.TOTL.MA.IN,9741974
Chile,CHL,Rural population,SP.RUR.TOTL,2353195
Chile,CHL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
China,CHN,"Population ages 80 and above, male",SP.POP.80UP.MA,13568731
China,CHN,"Population ages 80 and above, female",SP.POP.80UP.FE,21313186
China,CHN,"Population, total",SP.POP.TOTL,1411878144
China,CHN,Urban population,SP.URB.TOTL,911649718
China,CHN,"Population, female",SP.POP.TOTL.FE.IN,691740650
China,CHN,"Population, male",SP.POP.TOTL.MA.IN,720137493
China,CHN,Rural population,SP.RUR.TOTL,500228426
China,CHN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Colombia,COL,"Population ages 80 and above, male",SP.POP.80UP.MA,309044
Colombia,COL,"Population ages 80 and above, female",SP.POP.80UP.FE,496736
Colombia,COL,"Population, total",SP.POP.TOTL,52085168
Colombia,COL,Urban population,SP.URB.TOTL,42894219
Colombia,COL,"Population, female",SP.POP.TOTL.FE.IN,26416500
Colombia,COL,"Population, male",SP.POP.TOTL.MA.IN,25668667
Colombia,COL,Rural population,SP.RUR.TOTL,9190949
Colombia,COL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..
Comoros,COM,"Population ages 80 and above, male",SP.POP.80UP.MA,2133
Comoros,COM,"Population ages 80 and above, female",SP.POP.80UP.FE,2938
Comoros,COM,"Population, total",SP.POP.TOTL,852075
Comoros,COM,Urban population,SP.URB.TOTL,256747
Comoros,COM,"Population, female",SP.POP.TOTL.FE.IN,423943
